game_id,game_description,game_type,game_link,game_status,game_sport,game_startTime,game_live,game_awayTeamFirst,game_denySameGame,game_teaserAllowed,game_competitionId,game_notes,game_numMarkets,game_lastModified,competitor_1,competitor_1_home,competitor_2,competitor_2_home,team_1_hcap,team_1_hcap_odds,team_2_hcap,team_2_hcap_odds,team_1_ml_odds,team_2_ml_odds,Over_line,Over_odds,Under_line,Under_odds,draw_ml_odds,Over - 2H_line,Over - 2H_odds,Under - 2H_line,Under - 2H_odds,game_startTime_cst,game_date,game_time,away_team_clean,home_team_clean,DC_Game_ID
12108998,NS RedForce vs T1,GAMEEVENT,/esports/league-of-legends/lck-summer/ns-redforce-t1-202307020430,U,ESPT,2023-07-02 08:30:00,False,False,NO,True,9373563,,49,1688260096537.0,NS RedForce,True,T1,False,1.5,+265,-1.5,-385,+875,-3300,2.5,+290,2.5,-435,,,,,,2023-07-02 03:30:00-05:00,2023-07-02,03:30 AM,T1,NS RedForce,07022023-T1-NS RedForce
12133646,Miroslav Klimenta vs Otto Jarkovsky,GAMEEVENT,/table-tennis/czech-republic/liga-pro/miroslav-klimenta-otto-jarkovsky-202307020430,U,TABL,2023-07-02 08:30:00,False,False,NO,True,9971644,,15,1688245813461.0,Miroslav Klimenta,True,Otto Jarkovsky,False,3.5,-120,-3.5,-120,+125,-180,75.5,-120,75.5,-120,,,,,,2023-07-02 03:30:00-05:00,2023-07-02,03:30 AM,Otto Jarkovsky,Miroslav Klimenta,07022023-Otto Jarkovsky-Miroslav Klimenta
12133656,Richard Skacelik vs Kamil Przeczek,GAMEEVENT,/table-tennis/czech-republic/liga-pro/richard-skacelik-kamil-przeczek-202307020430,U,TABL,2023-07-02 08:30:00,False,False,NO,True,9971644,,15,1688245813578.0,Richard Skacelik,True,Kamil Przeczek,False,-2.5,-120,2.5,-120,-155,+110,75.5,-120,75.5,-120,,,,,,2023-07-02 03:30:00-05:00,2023-07-02,03:30 AM,Kamil Przeczek,,
12133566,Martin Tacinec vs Jaroslav Strnad,GAMEEVENT,/table-tennis/czech-republic/liga-pro/martin-tacinec-jaroslav-strnad-202307020430,U,TABL,2023-07-02 08:30:00,False,False,NO,True,9971644,,5,1688245813354.0,Martin Tacinec,True,Jaroslav Strnad,False,,,,,-120,-120,,,,,,,,,,2023-07-02 03:30:00-05:00,2023-07-02,03:30 AM,Jaroslav Strnad,Martin Tacinec,07022023-Jaroslav Strnad-Martin Tacinec
12133689,Martin Jirasek vs Petr Kmoch Snr,GAMEEVENT,/table-tennis/czech-republic/liga-pro/martin-jirasek-petr-kmoch-snr-202307020430,U,TABL,2023-07-02 08:30:00,False,False,NO,True,9971644,,15,1688245813311.0,Martin Jirasek,True,Petr Kmoch Snr,False,-3.5,-120,3.5,-120,-180,+125,75.5,-120,75.5,-120,,,,,,2023-07-02 03:30:00-05:00,2023-07-02,03:30 AM,Petr Kmoch Snr,Martin Jirasek,07022023-Petr Kmoch Snr-Martin Jirasek
12133697,Zdenek Balusek vs Jan Przybyla,GAMEEVENT,/table-tennis/czech-republic/liga-pro/zdenek-balusek-jan-przybyla-202307020600,U,TABL,2023-07-02 10:00:00,False,False,NO,True,9971644,,15,1688245839324.0,Zdenek Balusek,True,Jan Przybyla,False,-4.5,-115,4.5,-125,-190,+135,75.5,-120,75.5,-120,,,,,,2023-07-02 05:00:00-05:00,2023-07-02,05:00 AM,,,
12133686,Michal Syroha vs Pavel Sprynar,GAMEEVENT,/table-tennis/czech-republic/liga-pro/michal-syroha-pavel-sprynar-202307020600,U,TABL,2023-07-02 10:00:00,False,False,NO,True,9971644,,15,1688245830704.0,Michal Syroha,True,Pavel Sprynar,False,-4.5,-120,4.5,-120,-205,+145,75.5,-120,75.5,-120,,,,,,2023-07-02 05:00:00-05:00,2023-07-02,05:00 AM,Pavel Sprynar,Michal Syroha,07022023-Pavel Sprynar-Michal Syroha
12133682,Josef Rossler vs Miloslav Kotil,GAMEEVENT,/table-tennis/czech-republic/liga-pro/josef-rossler-miloslav-kotil-202307020600,U,TABL,2023-07-02 10:00:00,False,False,NO,True,9971644,,15,1688245830600.0,Josef Rossler,True,Miloslav Kotil,False,-3.5,-120,3.5,-120,-180,+125,77.5,-120,77.5,-120,,,,,,2023-07-02 05:00:00-05:00,2023-07-02,05:00 AM,Miloslav Kotil,,
12133653,Jaroslav Vanek vs Jiri Zuzanek,GAMEEVENT,/table-tennis/czech-republic/liga-pro/jaroslav-vanek-jiri-zuzanek-202307020600,U,TABL,2023-07-02 10:00:00,False,False,NO,True,9971644,,15,1688245830497.0,Jaroslav Vanek,True,Jiri Zuzanek,False,-2.5,-120,2.5,-120,-155,+110,75.5,-120,75.5,-120,,,,,,2023-07-02 05:00:00-05:00,2023-07-02,05:00 AM,Jiri Zuzanek,,
12133684,Petr Serak vs Jaroslav Strnad,GAMEEVENT,/table-tennis/czech-republic/liga-pro/petr-serak-jaroslav-strnad-202307020630,U,TABL,2023-07-02 10:30:00,False,False,NO,True,9971644,,15,1688245847377.0,Petr Serak,True,Jaroslav Strnad,False,4.5,-125,-4.5,-115,+145,-205,79.5,-120,79.5,-120,,,,,,2023-07-02 05:30:00-05:00,2023-07-02,05:30 AM,Jaroslav Strnad,Petr Serak,07022023-Jaroslav Strnad-Petr Serak
12133665,Miroslav Svedik vs Vladimir Postelt,GAMEEVENT,/table-tennis/czech-republic/liga-pro/miroslav-svedik-vladimir-postelt-202307020630,U,TABL,2023-07-02 10:30:00,False,False,NO,True,9971644,,15,1688245847287.0,Miroslav Svedik,True,Vladimir Postelt,False,-8.5,-125,8.5,-115,-525,+325,70.5,-120,70.5,-120,,,,,,2023-07-02 05:30:00-05:00,2023-07-02,05:30 AM,Vladimir Postelt,,
12133664,Radek Limbursky vs Josef Fuchs,GAMEEVENT,/table-tennis/czech-republic/liga-pro/radek-limbursky-josef-fuchs-202307020630,U,TABL,2023-07-02 10:30:00,False,False,NO,True,9971644,,15,1688245956198.0,Radek Limbursky,True,Josef Fuchs,False,-3.5,-115,3.5,-125,-170,+120,75.5,-120,75.5,-120,,,,,,2023-07-02 05:30:00-05:00,2023-07-02,05:30 AM,Josef Fuchs,,
12133681,Michal Raska vs Radomir Benesz,GAMEEVENT,/table-tennis/czech-republic/liga-pro/michal-raska-radomir-benesz-202307020630,U,TABL,2023-07-02 10:30:00,False,False,NO,True,9971644,,15,1688245847198.0,Michal Raska,True,Radomir Benesz,False,-5.5,-120,5.5,-120,-230,+160,74.5,-120,74.5,-120,,,,,,2023-07-02 05:30:00-05:00,2023-07-02,05:30 AM,,,
