game_id,game_description,game_type,game_link,game_status,game_sport,game_startTime,game_live,game_awayTeamFirst,game_denySameGame,game_teaserAllowed,game_competitionId,game_notes,game_numMarkets,game_lastModified,bovada_home_team,bovada_away_team,team_1_hcap,team_1_hcap_odds,team_2_hcap,team_2_hcap_odds,team_1_ml_odds,team_2_ml_odds,Over_line,Over_odds,Under_line,Under_odds,draw_ml_odds,cst_game_startTime,cst_game_date,cst_game_time,away_team_clean,home_team_clean,DC_Game_ID
12158287,Tomas Donat vs Rostislav Hasmanda,GAMEEVENT,/table-tennis/czech-republic/liga-pro/tomas-donat-rostislav-hasmanda-202307081130,U,TABL,2023-07-08 15:30:00,False,False,NO,True,9971644,,15,1688741171251.0,Tomas Donat,Rostislav Hasmanda,3.5,-125,-3.5,-115,+120,-170,75.5,-120,75.5,-120,,2023-07-08 10:30:00-05:00,2023-07-08,10:30 AM,Tomas Donat,Rostislav Hasmanda,07082023-Tomas Donat-Rostislav Hasmanda
12158279,Lukas Jindrak vs Jan Kanera,GAMEEVENT,/table-tennis/czech-republic/liga-pro/lukas-jindrak-jan-kanera-202307081130,U,TABL,7/8/2023 15:30,0,0,NO,1,9971644,,15,1688740000000.0,Lukas Jindrak,Jan Kanera,-7.5,-120.0,7.5,-120.0,-360.0,235.0,73.5,-120.0,73.5,-120.0,,2023-07-08 10:30:00-05:00,7/8/2023,10:30 AM,,Jan Kanera,
12158293,Ondrej Paril vs Jan Dzida,GAMEEVENT,/table-tennis/czech-republic/liga-pro/ondrej-paril-jan-dzida-202307081130,U,TABL,7/8/2023 15:30,0,0,NO,1,9971644,,15,1688740000000.0,Ondrej Paril,Jan Dzida,4.5,-120.0,-4.5,-120.0,145.0,-205.0,75.5,-120.0,75.5,-120.0,,2023-07-08 10:30:00-05:00,7/8/2023,10:30 AM,Ondrej Paril,Jan Dzida,07082023-Ondrej Paril-Jan Dzida
12158277,Pavel Zdarsa vs Jan Lovl,GAMEEVENT,/table-tennis/czech-republic/liga-pro/pavel-zdarsa-jan-lovl-202307081130,U,TABL,7/8/2023 15:30,0,0,NO,1,9971644,,7,1688740000000.0,Pavel Zdarsa,Jan Lovl,,,,,125.0,-180.0,75.5,-120.0,75.5,-120.0,,2023-07-08 10:30:00-05:00,7/8/2023,10:30 AM,,Jan Lovl,
12158287,Tomas Donat vs Rostislav Hasmanda,GAMEEVENT,/table-tennis/czech-republic/liga-pro/tomas-donat-rostislav-hasmanda-202307081130,U,TABL,7/8/2023 15:30,0,0,NO,1,9971644,,15,1688740000000.0,Tomas Donat,Rostislav Hasmanda,3.5,-125.0,-3.5,-115.0,120.0,-170.0,75.5,-120.0,75.5,-120.0,,2023-07-08 10:30:00-05:00,7/8/2023,10:30 AM,Tomas Donat,Rostislav Hasmanda,07082023-Tomas Donat-Rostislav Hasmanda
12158279,Lukas Jindrak vs Jan Kanera,GAMEEVENT,/table-tennis/czech-republic/liga-pro/lukas-jindrak-jan-kanera-202307081130,U,TABL,2023-07-08 15:30:00,False,False,NO,True,9971644,,15,1688741150953.0,Lukas Jindrak,Jan Kanera,-7.5,-120,7.5,-120,-360,+235,73.5,-120,73.5,-120,,2023-07-08 10:30:00-05:00,2023-07-08,10:30 AM,,Jan Kanera,
12158277,Pavel Zdarsa vs Jan Lovl,GAMEEVENT,/table-tennis/czech-republic/liga-pro/pavel-zdarsa-jan-lovl-202307081130,U,TABL,2023-07-08 15:30:00,False,False,NO,True,9971644,,7,1688741871020.0,Pavel Zdarsa,Jan Lovl,,,,,+125,-180,75.5,-120,75.5,-120,,2023-07-08 10:30:00-05:00,2023-07-08,10:30 AM,,Jan Lovl,
12158293,Ondrej Paril vs Jan Dzida,GAMEEVENT,/table-tennis/czech-republic/liga-pro/ondrej-paril-jan-dzida-202307081130,U,TABL,2023-07-08 15:30:00,False,False,NO,True,9971644,,15,1688741171212.0,Ondrej Paril,Jan Dzida,4.5,-120,-4.5,-120,+145,-205,75.5,-120,75.5,-120,,2023-07-08 10:30:00-05:00,2023-07-08,10:30 AM,Ondrej Paril,Jan Dzida,07082023-Ondrej Paril-Jan Dzida
12158301,Jan Lovl vs Josef Koutnik,GAMEEVENT,/table-tennis/czech-republic/liga-pro/jan-lovl-josef-koutnik-202307081200,U,TABL,2023-07-08 16:00:00,False,False,NO,True,9971644,,15,1688741191399.0,Jan Lovl,Josef Koutnik,-3.5,-120,3.5,-120,-180,+125,75.5,-120,75.5,-120,,2023-07-08 11:00:00-05:00,2023-07-08,11:00 AM,Jan Lovl,Josef Koutnik,07082023-Jan Lovl-Josef Koutnik
12158285,Rostislav Hasmanda vs Zdenek Kasinski,GAMEEVENT,/table-tennis/czech-republic/liga-pro/rostislav-hasmanda-zdenek-kasinski-202307081200,U,TABL,2023-07-08 16:00:00,False,False,NO,True,9971644,,15,1688741181348.0,Rostislav Hasmanda,Zdenek Kasinski,0.5,-125,-0.5,-115,-120,-120,76.5,-120,76.5,-120,,2023-07-08 11:00:00-05:00,2023-07-08,11:00 AM,Rostislav Hasmanda,Zdenek Kasinski,07082023-Rostislav Hasmanda-Zdenek Kasinski
