end_date,p_wt,t_wt,success_rate
7/1/2022,0.68,0.31999999999999995,0.5106382978723404
7/1/2022,0.69,0.31000000000000005,0.5094882116158712
7/1/2022,0.7,0.30000000000000004,0.5094882116158712
7/1/2022,0.71,0.29000000000000004,0.5094882116158712
7/1/2022,0.72,0.28,0.5100632547441059
7/1/2022,0.73,0.27,0.5089131684876366
7/1/2022,0.74,0.26,0.5089131684876366
7/1/2022,0.75,0.25,0.5083381253594019
7/1/2022,0.76,0.24,0.5083381253594019
7/1/2022,0.77,0.22999999999999998,0.5083381253594019
7/1/2022,0.78,0.21999999999999997,0.5089131684876366
7/1/2022,0.79,0.20999999999999996,0.5089131684876366
7/1/2022,0.8,0.19999999999999996,0.5094882116158712
7/1/2022,0.81,0.18999999999999995,0.5094882116158712
7/1/2022,0.82,0.18000000000000005,0.5089131684876366
7/1/2022,0.83,0.17000000000000004,0.5083381253594019
7/1/2022,0.84,0.16000000000000003,0.5083381253594019
7/1/2022,0.85,0.15000000000000002,0.5077630822311673
7/1/2022,0.86,0.14,0.5083381253594019
7/1/2022,0.87,0.13,0.5077630822311673
7/1/2022,0.88,0.12,0.5071880391029328
7/1/2022,0.89,0.10999999999999999,0.5066129959746981
7/1/2022,0.9,0.09999999999999998,0.5071880391029328
7/1/2022,0.91,0.08999999999999997,0.5071880391029328
7/1/2022,0.92,0.07999999999999996,0.5071880391029328
7/1/2022,0.93,0.06999999999999995,0.5077630822311673
7/1/2022,0.94,0.06000000000000005,0.5083381253594019
7/1/2022,0.95,0.050000000000000044,0.5077630822311673
7/1/2022,0.96,0.040000000000000036,0.5083381253594019
7/1/2022,0.97,0.030000000000000027,0.5083381253594019
7/1/2022,0.98,0.020000000000000018,0.5083381253594019
7/1/2022,0.99,0.010000000000000009,0.5083381253594019
12/31/2021,0.0,1.0,0.5163194444444444
12/31/2021,0.01,0.99,0.5163194444444444
12/31/2021,0.02,0.98,0.5170138888888889
12/31/2021,0.03,0.97,0.515625
12/31/2021,0.04,0.96,0.5166666666666667
12/31/2021,0.05,0.95,0.51875
12/31/2021,0.06,0.94,0.51875
12/31/2021,0.07,0.9299999999999999,0.5184027777777778
12/31/2021,0.08,0.92,0.5149305555555556
12/31/2021,0.09,0.91,0.5152777777777777
12/31/2021,0.1,0.9,0.5152777777777777
12/31/2021,0.11,0.89,0.5177083333333333
12/31/2021,0.12,0.88,0.51875
12/31/2021,0.13,0.87,0.5184027777777778
12/31/2021,0.14,0.86,0.515625
12/31/2021,0.15,0.85,0.5177083333333333
12/31/2021,0.16,0.84,0.5197916666666667
12/31/2021,0.17,0.83,0.5229166666666667
12/31/2021,0.18,0.8200000000000001,0.5222222222222223
12/31/2021,0.19,0.81,0.5208333333333334
12/31/2021,0.2,0.8,0.5204861111111111
12/31/2021,0.21,0.79,0.5190972222222222
12/31/2021,0.22,0.78,0.5211805555555555
12/31/2021,0.23,0.77,0.5201388888888889
12/31/2021,0.24,0.76,0.5201388888888889
12/31/2021,0.25,0.75,0.5197916666666667
12/31/2021,0.26,0.74,0.51875
12/31/2021,0.27,0.73,0.5184027777777778
12/31/2021,0.28,0.72,0.5197916666666667
12/31/2021,0.29,0.71,0.5190972222222222
12/31/2021,0.3,0.7,0.5201388888888889
12/31/2021,0.31,0.69,0.5190972222222222
12/31/2021,0.32,0.6799999999999999,0.5190972222222222
