game_id,game_description,game_type,game_link,game_status,game_sport,game_startTime,game_live,game_awayTeamFirst,game_denySameGame,game_teaserAllowed,game_competitionId,game_notes,game_numMarkets,game_lastModified,bovada_home_team,bovada_away_team,team_1_ml_odds,team_2_ml_odds,team_1_hcap,team_1_hcap_odds,team_2_hcap,team_2_hcap_odds,Over_line,Over_odds,Under_line,Under_odds,draw_ml_odds,cst_game_startTime,cst_game_date,cst_game_time,away_team_clean,home_team_clean,DC_Game_ID,Over - G1_line,Over - G1_odds,Under - G1_line,Under - G1_odds
12158143,Frantisek Briza vs Jakub Vrabec,GAMEEVENT,/table-tennis/czech-republic/liga-pro/frantisek-briza-jakub-vrabec-202307080330,U,TABL,2023-07-08 07:30:00,0,0,NO,1,9971644,,15,1688741211490,Frantisek Briza,Jakub Vrabec,-140,100,-1.5,-120,1.5,-120,76.5,-120,76.5,-120,,2023-07-06 20:30:00-05:00,2023-7-8,02:30 AM,Frantisek Briza,Jakub Vrabec,07082023-Frantisek Briza-Jakub Vrabec,,,,
12159781,Roman Laznicka vs Milan Flesar,GAMEEVENT,/table-tennis/czech-republic/liga-pro/roman-laznicka-milan-flesar-202307080400,U,TABL,2023-07-08 08:00:00,0,0,NO,1,9971644,,15,1688782615478,Roman Laznicka,Milan Flesar,-155,+110,-2.5,-120,2.5,-120,75.5,-120,75.5,-120,,2023-07-06 21:00:00-05:00,2023-7-8,03:00 AM,Roman Laznicka,Milan Flesar,07082023-Roman Laznicka-Milan Flesar,,,,
12158162,Patrik Jokiel vs Vojtech Konvicka,GAMEEVENT,/table-tennis/czech-republic/liga-pro/patrik-jokiel-vojtech-konvicka-202307080400,U,TABL,2023-07-08 08:00:00,0,0,NO,1,9971644,,12,1688740768565,Patrik Jokiel,Vojtech Konvicka,-170,+120,-3.5,-115,3.5,-125,,,,,,2023-07-06 21:00:00-05:00,2023-7-8,03:00 AM,,,,,,,
12158146,Jakub Vrabec vs Vladimir Postelt,GAMEEVENT,/table-tennis/czech-republic/liga-pro/jakub-vrabec-vladimir-postelt-202307080400,U,TABL,2023-07-08 08:00:00,0,0,NO,1,9971644,,13,1688740748430,Jakub Vrabec,Vladimir Postelt,+145,-205,4.5,-125,-4.5,-115,,,,,,2023-07-06 21:00:00-05:00,2023-7-8,03:00 AM,Jakub Vrabec,Vladimir Postelt,07082023-Jakub Vrabec-Vladimir Postelt,,,,
12158129,Jan Sucharda vs Patrik Pycha,GAMEEVENT,/table-tennis/czech-republic/liga-pro/jan-sucharda-patrik-pycha-202307080400,U,TABL,2023-07-08 08:00:00,0,0,NO,1,9971644,,13,1688740768535,Jan Sucharda,Patrik Pycha,-190,+135,-3.5,-120,3.5,-120,,,,,,2023-07-06 21:00:00-05:00,2023-7-8,03:00 AM,Jan Sucharda,Patrik Pycha,07082023-Jan Sucharda-Patrik Pycha,,,,
12158157,Martin Cvecek vs Miloslav Dvorak,GAMEEVENT,/table-tennis/czech-republic/liga-pro/martin-cvecek-miloslav-dvorak-202307080430,U,TABL,2023-07-08 08:30:00,0,0,NO,1,9971644,,15,1688741050022,Martin Cvecek,Miloslav Dvorak,+125,-180,3.5,-120,-3.5,-120,75.5,-120,75.5,-120,,2023-07-06 21:30:00-05:00,2023-7-8,03:30 AM,Martin Cvecek,Miloslav Dvorak,07082023-Martin Cvecek-Miloslav Dvorak,,,,
12137108,NS RedForce vs Liiv  Sandbox ,GAMEEVENT,/esports/league-of-legends/lck-summer/ns-redforce-liiv-sandbox-202307080430,U,ESPT,2023-07-08 08:30:00,0,0,NO,1,9373563,,73,1688789235926,NS RedForce,Liiv  Sandbox ,+215,-285,1.5,-145,-1.5,+110,2.5,+120,2.5,-155,,2023-07-06 21:30:00-05:00,2023-7-8,03:30 AM,NS RedForce,Liiv  Sandbox ,07082023-NS RedForce-Liiv  Sandbox ,,,,
12158147,Jan Briska vs Frantisek Briza,GAMEEVENT,/table-tennis/czech-republic/liga-pro/jan-briska-frantisek-briza-202307080430,U,TABL,2023-07-08 08:30:00,0,0,NO,1,9971644,,13,1688740768598,Jan Briska,Frantisek Briza,-190,+135,-3.5,-120,3.5,-120,,,,,,2023-07-06 21:30:00-05:00,2023-7-8,03:30 AM,Jan Briska,Frantisek Briza,07082023-Jan Briska-Frantisek Briza,,,,
12158203,Lukas Frejvolt vs Svatoslav Stempen,GAMEEVENT,/table-tennis/czech-republic/liga-pro/lukas-frejvolt-svatoslav-stempen-202307080430,U,TABL,2023-07-08 08:30:00,0,0,NO,1,9971644,,15,1688741231622,Lukas Frejvolt,Svatoslav Stempen,-120,-120,0.5,-125,-0.5,-115,76.5,-120,76.5,-120,,2023-07-06 21:30:00-05:00,2023-7-8,03:30 AM,,Svatoslav Stempen,,,,,
12158128,Frantisek Just vs Jiri Zuzanek,GAMEEVENT,/table-tennis/czech-republic/liga-pro/frantisek-just-jiri-zuzanek-202307080430,U,TABL,2023-07-08 08:30:00,0,0,NO,1,9971644,,13,1688740778642,Frantisek Just,Jiri Zuzanek,-350,+230,-7.5,-115,7.5,-125,,,,,,2023-07-06 21:30:00-05:00,2023-7-8,03:30 AM,Frantisek Just,Jiri Zuzanek,07082023-Frantisek Just-Jiri Zuzanek,,,,
12158224,Roman Niedoba vs Jiri Stach,GAMEEVENT,/table-tennis/czech-republic/liga-pro/roman-niedoba-jiri-stach-202307080600,U,TABL,2023-07-08 10:00:00,0,0,NO,1,9971644,,15,1688741070216,Roman Niedoba,Jiri Stach,-155,+110,-2.5,-120,2.5,-120,75.5,-120,75.5,-120,,2023-07-06 23:00:00-05:00,2023-7-8,05:00 AM,,,,,,,
12158210,Richard Bonsch vs Jiri Machart,GAMEEVENT,/table-tennis/czech-republic/liga-pro/richard-bonsch-jiri-machart-202307080600,U,TABL,2023-07-08 10:00:00,0,0,NO,1,9971644,,15,1688784312663,Richard Bonsch,Jiri Machart,-205,+145,-4.5,-120,4.5,-120,75.5,-120,75.5,-120,,2023-07-06 23:00:00-05:00,2023-7-8,05:00 AM,Richard Bonsch,Jiri Machart,07082023-Richard Bonsch-Jiri Machart,,,,
12158211,Josef Fuchs vs Oldrich Lzicar,GAMEEVENT,/table-tennis/czech-republic/liga-pro/josef-fuchs-oldrich-lzicar-202307080600,U,TABL,2023-07-08 10:00:00,0,0,NO,1,9971644,,15,1688741312118,Josef Fuchs,Oldrich Lzicar,-120,-120,0.5,-125,-0.5,-115,78.5,-120,78.5,-120,,2023-07-06 23:00:00-05:00,2023-7-8,05:00 AM,Josef Fuchs,Oldrich Lzicar,07082023-Josef Fuchs-Oldrich Lzicar,,,,
12158197,Kamil Novak vs Ladislav Janousek,GAMEEVENT,/table-tennis/czech-republic/liga-pro/kamil-novak-ladislav-janousek-202307080600,U,TABL,2023-07-08 10:00:00,0,0,NO,1,9971644,,15,1688740999750,Kamil Novak,Ladislav Janousek,-170,+120,-2.5,-120,2.5,-120,79.5,-120,79.5,-120,,2023-07-06 23:00:00-05:00,2023-7-8,05:00 AM,Kamil Novak,Ladislav Janousek,07082023-Kamil Novak-Ladislav Janousek,,,,
12158435,Bronislav Roubal vs Matej Pycha,GAMEEVENT,/table-tennis/czech-republic/liga-pro/bronislav-roubal-matej-pycha-202307080630,U,TABL,2023-07-08 10:30:00,0,0,NO,1,9971644,,15,1688749522645,Bronislav Roubal,Matej Pycha,-170,+120,-3.5,-115,3.5,-125,75.5,-120,75.5,-120,,2023-07-06 23:30:00-05:00,2023-7-8,05:30 AM,Bronislav Roubal,Matej Pycha,07082023-Bronislav Roubal-Matej Pycha,,,,
12158204,Milan Regner vs Miroslav Adamec,GAMEEVENT,/table-tennis/czech-republic/liga-pro/milan-regner-miroslav-adamec-202307080630,U,TABL,2023-07-08 10:30:00,0,0,NO,1,9971644,,15,1688741120619,Milan Regner,Miroslav Adamec,-140,100,-1.5,-120,1.5,-120,76.5,-120,76.5,-120,,2023-07-06 23:30:00-05:00,2023-7-8,05:30 AM,Milan Regner,Miroslav Adamec,07082023-Milan Regner-Miroslav Adamec,,,,
12158205,Stepan Prazak vs Antonin Kosprd,GAMEEVENT,/table-tennis/czech-republic/liga-pro/stepan-prazak-antonin-kosprd-202307080630,U,TABL,2023-07-08 10:30:00,0,0,NO,1,9971644,,15,1688740999667,Stepan Prazak,Antonin Kosprd,-180,+125,-3.5,-120,3.5,-120,75.5,-120,75.5,-120,,2023-07-06 23:30:00-05:00,2023-7-8,05:30 AM,,Antonin Kosprd,,,,,
12158226,Martin Jaksa vs Milan Zika,GAMEEVENT,/table-tennis/czech-republic/liga-pro/martin-jaksa-milan-zika-202307080630,U,TABL,2023-07-08 10:30:00,0,0,NO,1,9971644,,8,1688742158829,Martin Jaksa,Milan Zika,-120,-120,0.5,-125,-0.5,-115,76.5,-120,76.5,-120,,2023-07-06 23:30:00-05:00,2023-7-8,05:30 AM,Martin Jaksa,,,,,,
12158178,Ladislav Janousek vs Milan Regner,GAMEEVENT,/table-tennis/czech-republic/liga-pro/ladislav-janousek-milan-regner-202307080700,U,TABL,2023-07-08 11:00:00,0,0,NO,1,9971644,,15,1688740989569,Ladislav Janousek,Milan Regner,-230,+160,-5.5,-115,5.5,-125,75.5,-120,75.5,-120,,2023-07-07 00:00:00-05:00,2023-7-8,06:00 AM,Ladislav Janousek,Milan Regner,07082023-Ladislav Janousek-Milan Regner,,,,
12158225,Jiri Stach vs Martin Jaksa,GAMEEVENT,/table-tennis/czech-republic/liga-pro/jiri-stach-martin-jaksa-202307080700,U,TABL,2023-07-08 11:00:00,0,0,NO,1,9971644,,15,1688741161099,Jiri Stach,Martin Jaksa,-120,-120,0.5,-125,-0.5,-115,76.5,-120,76.5,-120,,2023-07-07 00:00:00-05:00,2023-7-8,06:00 AM,,Martin Jaksa,,,,,
12158193,Jiri Machart vs Bronislav Roubal,GAMEEVENT,/table-tennis/czech-republic/liga-pro/jiri-machart-bronislav-roubal-202307080700,U,TABL,2023-07-08 11:00:00,0,0,NO,1,9971644,,15,1688740999707,Jiri Machart,Bronislav Roubal,-155,+110,-2.5,-120,2.5,-120,75.5,-120,75.5,-120,,2023-07-07 00:00:00-05:00,2023-7-8,06:00 AM,Jiri Machart,Bronislav Roubal,07082023-Jiri Machart-Bronislav Roubal,,,,
12158214,Oldrich Lzicar vs Stepan Prazak,GAMEEVENT,/table-tennis/czech-republic/liga-pro/oldrich-lzicar-stepan-prazak-202307080700,U,TABL,2023-07-08 11:00:00,0,0,NO,1,9971644,,15,1688741060162,Oldrich Lzicar,Stepan Prazak,+145,-205,4.5,-120,-4.5,-120,75.5,-120,75.5,-120,,2023-07-07 00:00:00-05:00,2023-7-8,06:00 AM,Oldrich Lzicar,,,,,,
12158222,Milan Zika vs Roman Niedoba,GAMEEVENT,/table-tennis/czech-republic/liga-pro/milan-zika-roman-niedoba-202307080730,U,TABL,2023-07-08 11:30:00,0,0,NO,1,9971644,,15,1688741080447,Milan Zika,Roman Niedoba,+120,-170,3.5,-125,-3.5,-115,75.5,-120,75.5,-120,,2023-07-07 00:30:00-05:00,2023-7-8,06:30 AM,,,,,,,
12158434,Matej Pycha vs Richard Bonsch,GAMEEVENT,/table-tennis/czech-republic/liga-pro/matej-pycha-richard-bonsch-202307080730,U,TABL,2023-07-08 11:30:00,0,0,NO,1,9971644,,15,1688749522831,Matej Pycha,Richard Bonsch,+135,-190,3.5,-120,-3.5,-120,75.5,-120,75.5,-120,,2023-07-07 00:30:00-05:00,2023-7-8,06:30 AM,Matej Pycha,Richard Bonsch,07082023-Matej Pycha-Richard Bonsch,,,,
12158215,Antonin Kosprd vs Josef Fuchs,GAMEEVENT,/table-tennis/czech-republic/liga-pro/antonin-kosprd-josef-fuchs-202307080730,U,TABL,2023-07-08 11:30:00,0,0,NO,1,9971644,,14,1688740979472,Antonin Kosprd,Josef Fuchs,+400,-700,9.5,-115,-9.5,-125,69.5,-120,69.5,-120,,2023-07-07 00:30:00-05:00,2023-7-8,06:30 AM,Antonin Kosprd,Josef Fuchs,07082023-Antonin Kosprd-Josef Fuchs,,,,
12158180,Miroslav Adamec vs Kamil Novak,GAMEEVENT,/table-tennis/czech-republic/liga-pro/miroslav-adamec-kamil-novak-202307080730,U,TABL,2023-07-08 11:30:00,0,0,NO,1,9971644,,15,1688741060120,Miroslav Adamec,Kamil Novak,+145,-205,4.5,-120,-4.5,-120,75.5,-120,75.5,-120,,2023-07-07 00:30:00-05:00,2023-7-8,06:30 AM,Miroslav Adamec,Kamil Novak,07082023-Miroslav Adamec-Kamil Novak,,,,
12158217,Josef Fuchs vs Stepan Prazak,GAMEEVENT,/table-tennis/czech-republic/liga-pro/josef-fuchs-stepan-prazak-202307080800,U,TABL,2023-07-08 12:00:00,0,0,NO,1,9971644,,15,1688741221535,Josef Fuchs,Stepan Prazak,-180,+125,-3.5,-120,3.5,-120,75.5,-120,75.5,-120,,2023-07-07 01:00:00-05:00,2023-7-8,07:00 AM,Josef Fuchs,,,,,,
12158183,Kamil Novak vs Milan Regner,GAMEEVENT,/table-tennis/czech-republic/liga-pro/kamil-novak-milan-regner-202307080800,U,TABL,2023-07-08 12:00:00,0,0,NO,1,9971644,,15,1688741201444,Kamil Novak,Milan Regner,-230,+160,-5.5,-115,5.5,-125,75.5,-120,75.5,-120,,2023-07-07 01:00:00-05:00,2023-7-8,07:00 AM,Kamil Novak,Milan Regner,07082023-Kamil Novak-Milan Regner,,,,
12158221,Roman Niedoba vs Martin Jaksa,GAMEEVENT,/table-tennis/czech-republic/liga-pro/roman-niedoba-martin-jaksa-202307080800,U,TABL,2023-07-08 12:00:00,0,0,NO,1,9971644,,15,1688740989613,Roman Niedoba,Martin Jaksa,-155,+110,-2.5,-120,2.5,-120,75.5,-120,75.5,-120,,2023-07-07 01:00:00-05:00,2023-7-8,07:00 AM,,Martin Jaksa,,,,,
12158200,Richard Bonsch vs Bronislav Roubal,GAMEEVENT,/table-tennis/czech-republic/liga-pro/richard-bonsch-bronislav-roubal-202307080800,U,TABL,2023-07-08 12:00:00,0,0,NO,1,9971644,,13,1688740899020,Richard Bonsch,Bronislav Roubal,-230,+160,-5.5,-115,5.5,-125,,,,,,2023-07-07 01:00:00-05:00,2023-7-8,07:00 AM,Richard Bonsch,Bronislav Roubal,07082023-Richard Bonsch-Bronislav Roubal,,,,
