away_team,home_team,away_spread,home_spread,away_spread_handle,home_spread_handle,away_spread_bets,home_spread_bets,total_over,total_under,total_over_handle,total_under_handle,total_over_bets,total_under_bets,away_ml,home_ml,away_ml_handle,home_ml_handle,away_ml_bets,home_ml_bets,Sport
BAL Ravens,TEN Titans,-5.5,+5.5,79%,21%,81%,19%,,,0%,0%,0%,0%,-215,+185,43%,57%,67%,33%,NFL
FIU,Louisiana Tech,+10.5,-10.5,84%,16%,43%,57%,,,0%,0%,0%,0%,,,0%,0%,0%,0%,CFB
Massachusetts,New Mexico ST,+10,-10,92%,8%,35%,65%,,,0%,0%,0%,0%,,,0%,0%,0%,0%,CFB
Navy,Notre Dame,+21,-21,92%,8%,44%,56%,,,0%,0%,0%,0%,,,0%,0%,0%,0%,CFB
Ohio,San Diego ST,+5.5,-5.5,91%,9%,18%,82%,,,0%,0%,0%,0%,,,0%,0%,0%,0%,CFB
San Jose ST,USC,+29.5,-29.5,4%,96%,16%,84%,,,0%,0%,0%,0%,,,0%,0%,0%,0%,CFB
Hawaii,Vanderbilt,+18.5,-18.5,4%,96%,22%,78%,,,0%,0%,0%,0%,,,0%,0%,0%,0%,CFB
UTEP,Jacksonville ST,+1.5,-1.5,89%,11%,76%,24%,,,0%,0%,0%,0%,,,0%,0%,0%,0%,CFB
Kent ST,UCF,+31.5,-31.5,5%,95%,57%,43%,,,0%,0%,0%,0%,,,0%,0%,0%,0%,CFB
Nebraska,Minnesota,+7.5,-7.5,80%,20%,70%,30%,,,0%,0%,0%,0%,,,0%,0%,0%,0%,CFB
Florida,Utah,+9.5,-9.5,63%,37%,54%,46%,,,0%,0%,0%,0%,,,0%,0%,0%,0%,CFB
Louisville,Georgia Tech,-8.5,+8.5,41%,59%,67%,33%,,,0%,0%,0%,0%,,,0%,0%,0%,0%,CFB
Stanford,Hawaii,-10.5,+10.5,22%,78%,67%,33%,,,0%,0%,0%,0%,,,0%,0%,0%,0%,CFB
Miami OH,Miami FL,+17.5,-17.5,3%,97%,21%,79%,,,0%,0%,0%,0%,,,0%,0%,0%,0%,CFB
Middle Tennessee,Alabama,+37,-37,7%,93%,14%,86%,,,0%,0%,0%,0%,,,0%,0%,0%,0%,CFB
Massachusetts,Auburn,+39.5,-39.5,8%,92%,44%,56%,,,0%,0%,0%,0%,,,0%,0%,0%,0%,CFB
Texas ST,Baylor,+24,-24,94%,6%,45%,55%,,,0%,0%,0%,0%,,,0%,0%,0%,0%,CFB
Northern Illinois,Boston College,+9.5,-9.5,0%,100%,8%,92%,,,0%,0%,0%,0%,,,0%,0%,0%,0%,CFB
Washington ST,Colorado ST,-16,+16,46%,54%,70%,30%,,,0%,0%,0%,0%,,,0%,0%,0%,0%,CFB
Toledo,Illinois,+10.5,-10.5,3%,97%,14%,86%,,,0%,0%,0%,0%,,,0%,0%,0%,0%,CFB
Ohio ST,Indiana,-28,+28,54%,46%,56%,44%,,,0%,0%,0%,0%,,,0%,0%,0%,0%,CFB
Utah ST,Iowa,+20.5,-20.5,2%,98%,42%,58%,,,0%,0%,0%,0%,,,0%,0%,0%,0%,CFB
Ball ST,Kentucky,+26.5,-26.5,74%,26%,65%,35%,,,0%,0%,0%,0%,,,0%,0%,0%,0%,CFB
Army West Point,ULM,-7.5,,100%,0%,100%,0%,,,0%,0%,0%,0%,,,0%,0%,0%,0%,CFB
East Carolina,Michigan,+36.5,-36.5,21%,79%,38%,62%,,,0%,0%,0%,0%,,,0%,0%,0%,0%,CFB
South Carolina,North Carolina,+1.5,-1.5,83%,17%,58%,42%,,,0%,0%,0%,0%,,,0%,0%,0%,0%,CFB
California,North Texas,-7.5,+7,100%,0%,95%,5%,,,0%,0%,0%,0%,,,0%,0%,0%,0%,CFB
West Virginia,Penn ST,+18.5,-18.5,45%,55%,57%,43%,,,0%,0%,0%,0%,,,0%,0%,0%,0%,CFB
Fresno ST,Purdue,+6.5,-6.5,4%,96%,15%,85%,,,0%,0%,0%,0%,,,0%,0%,0%,0%,CFB
Louisiana Tech,SMU,+15.5,-14.5,89%,11%,11%,89%,,,0%,0%,0%,0%,,,0%,0%,0%,0%,CFB
Colorado,TCU,+21,-21,73%,27%,75%,25%,,,0%,0%,0%,0%,,,0%,0%,0%,0%,CFB
Virginia,Tennessee,+27,-27,13%,87%,39%,61%,,,0%,0%,0%,0%,,,0%,0%,0%,0%,CFB
Rice,Texas,+34.5,-34.5,5%,95%,20%,80%,,,0%,0%,0%,0%,,,0%,0%,0%,0%,CFB
New Mexico,Texas A&M,+37.5,-37.5,81%,19%,48%,52%,,,0%,0%,0%,0%,,,0%,0%,0%,0%,CFB
Coastal Carolina,UCLA,+15.5,-15.5,23%,77%,18%,82%,,,0%,0%,0%,0%,,,0%,0%,0%,0%,CFB
Old Dominion,Virginia Tech,+14,-14,0%,100%,8%,92%,,,0%,0%,0%,0%,,,0%,0%,0%,0%,CFB
Boise ST,Washington,+14.5,-14.5,26%,74%,22%,78%,,,0%,0%,0%,0%,,,0%,0%,0%,0%,CFB
Buffalo,Wisconsin,+22.5,-23,1%,99%,13%,87%,,,0%,0%,0%,0%,,,0%,0%,0%,0%,CFB
Texas Tech,Wyoming,-14,+14,8%,92%,57%,43%,,,0%,0%,0%,0%,,,0%,0%,0%,0%,CFB
South Florida,Western Kentucky,+13,-13,100%,0%,83%,17%,,,0%,0%,0%,0%,,,0%,0%,0%,0%,CFB
Bowling Green,Liberty,+12.5,-12.5,98%,2%,44%,56%,,,0%,0%,0%,0%,,,0%,0%,0%,0%,CFB
LSU,Florida ST,-2,+2,92%,8%,83%,17%,,,0%,0%,0%,0%,,,0%,0%,0%,0%,CFB
Oregon ST,San Jose ST,-16,+16,100%,0%,57%,43%,,,0%,0%,0%,0%,,,0%,0%,0%,0%,CFB
Clemson,Duke,-11,+11,98%,2%,93%,7%,,,0%,0%,0%,0%,,,0%,0%,0%,0%,CFB
Texas,Alabama,+7,-7,81%,19%,49%,51%,,,0%,0%,0%,0%,,,0%,0%,0%,0%,CFB
Texas A&M,Miami FL,-6.5,+6.5,92%,8%,78%,22%,,,0%,0%,0%,0%,,,0%,0%,0%,0%,CFB
Tennessee,Florida,-7.5,+7.5,51%,49%,71%,29%,,,0%,0%,0%,0%,,,0%,0%,0%,0%,CFB
South Carolina,Georgia Bulldogs,+24,-24,72%,28%,52%,48%,,,0%,0%,0%,0%,,,0%,0%,0%,0%,CFB
Washington,Michigan ST,-11,+11,97%,3%,83%,17%,,,0%,0%,0%,0%,,,0%,0%,0%,0%,CFB
LSU,Mississippi ST,-9,+9,82%,18%,79%,21%,,,0%,0%,0%,0%,,,0%,0%,0%,0%,CFB
MIL Brewers,TOR Blue Jays,+1.5,-1.5,28%,72%,27%,73%,8,8,46%,54%,56%,44%,+155,-180,14%,86%,25%,75%,MLB
SD Padres,MIA Marlins,-1.5,+1.5,58%,42%,46%,54%,7.5,7.5,35%,65%,50%,50%,-120,+100,69%,31%,59%,41%,MLB
PHI Phillies,NY Mets,+1.5,-1.5,16%,84%,25%,75%,8.5,8.5,39%,61%,51%,49%,+160,-190,25%,75%,27%,73%,MLB
COL Rockies,ARI DBacks,+1.5,-1.5,39%,61%,38%,62%,9.5,9.5,74%,26%,69%,31%,+145,-170,72%,28%,34%,66%,MLB
CIN Reds,BOS Red Sox,+1.5,-1.5,36%,64%,38%,62%,9.5,9.5,65%,35%,49%,51%,+145,-170,23%,77%,34%,66%,MLB
CLE Guardians,MIN Twins,+1.5,-1.5,55%,45%,47%,53%,8,8,58%,42%,54%,46%,+120,-140,48%,52%,45%,55%,MLB
LA Angels,HOU Astros,+1.5,-1.5,36%,64%,29%,71%,9,9,83%,17%,72%,28%,+125,-145,34%,66%,30%,70%,MLB
MIL Brewers,CIN Reds,-1.5,+1.5,50%,50%,50%,50%,9.5,9.5,68%,32%,52%,48%,-180,+155,65%,35%,67%,33%,MLB
OAK Athletics,MIA Marlins,+1.5,-1.5,7%,93%,10%,90%,8.5,8.5,67%,33%,53%,47%,+170,-200,9%,91%,13%,87%,MLB
PHI Phillies,WAS Nationals,-1.5,+1.5,69%,31%,55%,45%,8.5,8.5,56%,44%,51%,49%,-175,+150,68%,32%,72%,28%,MLB
STL Cardinals,PIT Pirates,-1.5,+1.5,73%,27%,38%,62%,9,9,97%,3%,69%,31%,-130,+110,57%,43%,51%,49%,MLB
TB Rays,BOS Red Sox,-1.5,+1.5,59%,41%,64%,36%,9.5,9.5,89%,11%,67%,33%,-130,+110,80%,20%,71%,29%,MLB
TOR Blue Jays,NY Mets,+1.5,-1.5,32%,68%,55%,45%,8.5,8.5,52%,48%,52%,48%,+115,-135,32%,68%,42%,58%,MLB
SEA Mariners,TEX Rangers,-1.5,+1.5,47%,53%,21%,79%,8.5,8.5,14%,86%,42%,58%,-120,+100,29%,71%,39%,61%,MLB
COL Rockies,KC Royals,-1.5,+1.5,75%,25%,48%,52%,9,9,85%,15%,70%,30%,+100,-120,85%,15%,65%,35%,MLB
CLE Guardians,MIN Twins,+1.5,-1.5,20%,80%,48%,52%,8.5,8.5,31%,69%,55%,45%,+115,-135,35%,65%,34%,66%,MLB
LA Angels,HOU Astros,+1.5,-1.5,46%,54%,67%,33%,7.5,7.5,61%,39%,68%,32%,+110,-130,74%,26%,54%,46%,MLB
ATL Braves,ARI DBacks,-1.5,+1.5,41%,59%,50%,50%,9,9,86%,14%,55%,45%,-125,+105,52%,48%,64%,36%,MLB
CHI Cubs,SD Padres,+1.5,-1.5,3%,97%,22%,78%,8.5,8.5,87%,13%,61%,39%,+140,-165,7%,93%,22%,78%,MLB
NY Yankees,LA Dodgers,+1.5,-1.5,61%,39%,57%,43%,8.5,8.5,54%,46%,51%,49%,+120,-140,53%,47%,39%,61%,MLB
BAL Orioles,SF Giants,+1.5,-1.5,62%,38%,69%,31%,7.5,7.5,29%,71%,72%,28%,+135,-155,40%,60%,49%,51%,MLB
FLA Panthers,VGK Golden Knights,+1.5,-1.5,41%,59%,55%,45%,5.5,5.5,69%,31%,66%,34%,+110,-130,59%,41%,57%,43%,NHL
CON Sun,MIN Lynx,-6,+6,54%,46%,64%,36%,160,160,15%,85%,34%,66%,-250,+210,66%,34%,72%,28%,WNBA
NY Liberty,CHI Sky,-10.5,+10.5,32%,68%,53%,47%,161.5,161.5,20%,80%,57%,43%,-720,+520,30%,70%,80%,20%,WNBA
DAL Wings,WAS Mystics,+7,-7,13%,87%,55%,45%,163.5,163.5,90%,10%,77%,23%,+235,-280,42%,58%,28%,72%,WNBA
LV Aces,ATL Dream,-11,+11,91%,9%,60%,40%,171.5,171.5,81%,19%,55%,45%,-750,+550,74%,26%,82%,18%,WNBA
LA Sparks,PHO Mercury,+3,-3,76%,24%,52%,48%,163,163,52%,48%,62%,38%,+135,-155,84%,16%,53%,47%,WNBA
HOU Gamblers,PIT Maulers,-3,+3,29%,71%,71%,29%,43,43,5%,95%,35%,65%,-155,+135,96%,4%,87%,13%,USFL
PHI Stars,BIR Stallions,+6,-6,51%,49%,50%,50%,46,46,69%,31%,75%,25%,+185,-215,27%,73%,13%,87%,USFL
Memphis Showboats,NJ Generals,+2,-2,14%,86%,66%,34%,41,41,27%,73%,46%,54%,+110,-130,44%,56%,68%,32%,USFL
MI Panthers,NO Breakers,+3.5,-3.5,36%,64%,30%,70%,43,43,3%,97%,40%,60%,+140,-165,58%,42%,7%,93%,USFL
New England Revolution,New York City FC,,,0%,0%,0%,0%,,,0%,0%,0%,0%,+245,-105,76%,24%,50%,50%,MLS
Portland Timbers,Seattle Sounders,,,0%,0%,0%,0%,,,0%,0%,0%,0%,+350,-145,56%,44%,24%,76%,MLS
DC Utd,Inter Miami,,,0%,0%,0%,0%,,,0%,0%,0%,0%,+170,+145,53%,47%,51%,49%,MLS
Charlotte FC,Columbus Crew,--1,,0%,100%,0%,100%,,,0%,0%,0%,0%,+450,-200,36%,64%,14%,86%,MLS
Chicago Fire,FC Cincinnati,,,0%,0%,0%,0%,,,0%,0%,0%,0%,+360,-155,5%,95%,7%,93%,MLS
CF Montreal,Philadelphia Union,--1,,0%,100%,0%,100%,,,0%,0%,0%,0%,+475,-195,22%,78%,9%,91%,MLS
Orlando City,New York Red Bulls,,,0%,0%,0%,0%,,,0%,0%,0%,0%,+330,-125,50%,50%,22%,78%,MLS
Nashville SC,FC Dallas,+0.5,,100%,0%,100%,0%,,,0%,0%,0%,0%,+205,+125,83%,17%,57%,43%,MLS
Real Salt Lake,Austin FC,,,0%,0%,0%,0%,,,0%,0%,0%,0%,+245,-105,15%,85%,15%,85%,MLS
Toronto FC,Minnesota Utd,,,0%,0%,0%,0%,,,0%,0%,0%,0%,+295,-120,41%,59%,17%,83%,MLS
Houston Dynamo,St Louis City SC,,,0%,0%,0%,0%,,,0%,0%,0%,0%,+310,-125,6%,94%,8%,92%,MLS
San Jose Earthquakes,Colorado Rapids,,,0%,0%,0%,0%,,,0%,0%,0%,0%,+245,+100,79%,21%,55%,45%,MLS
Sporting Kansas City,Vancouver Whitecaps,+0.5,,100%,0%,100%,0%,,,0%,0%,0%,0%,+255,-115,63%,37%,27%,73%,MLS
Inter Milan,Man City,+1,-1.5,7%,93%,14%,86%,2.5,3,52%,48%,93%,7%,+600,-250,36%,64%,31%,69%,UEFA
