gameID,sport,game_time,team1,team1_pred,team2,team2_pred,lastMod_ESPNpred,away_team_clean,home_team_clean,DC_Game_ID
401547398,nfl,2023-09-10 08:00:00,Tampa Bay Buccaneers,30.3%,Minnesota Vikings,69.5%,07/09/2023 10:27:16 PM,Tampa Bay Buccaneers,Minnesota Vikings,09102023-Tampa Bay Buccaneers-Minnesota Vikings
401547409,nfl,2023-09-10 15:20:00,Dallas Cowboys,53.0%,New York Giants,46.6%,07/09/2023 10:27:17 PM,Dallas Cowboys,New York Giants,09102023-Dallas Cowboys-New York Giants
401547406,nfl,2023-09-10 08:00:00,Arizona Cardinals,35.6%,Washington Commanders,64.1%,07/09/2023 10:27:17 PM,Arizona Cardinals,Washington Commanders,09102023-Arizona Cardinals-Washington Commanders
401547403,nfl,2023-09-10 08:00:00,Carolina Panthers,47.2%,Atlanta Falcons,52.4%,07/09/2023 10:27:17 PM,Carolina Panthers,Atlanta Falcons,09102023-Carolina Panthers-Atlanta Falcons
401547352,nfl,2023-09-11 15:15:00,Buffalo Bills,55.7%,New York Jets,43.9%,07/09/2023 10:27:18 PM,Buffalo Bills,New York Jets,09112023-Buffalo Bills-New York Jets
401547407,nfl,2023-09-10 11:25:00,Green Bay Packers,47.2%,Chicago Bears,52.4%,07/09/2023 10:27:18 PM,Green Bay Packers,Chicago Bears,09102023-Green Bay Packers-Chicago Bears
401547404,nfl,2023-09-10 08:00:00,Jacksonville Jaguars,65.2%,Indianapolis Colts,34.6%,07/09/2023 10:27:18 PM,Jacksonville Jaguars,Indianapolis Colts,09102023-Jacksonville Jaguars-Indianapolis Colts
401547399,nfl,2023-09-10 08:00:00,Tennessee Titans,43.4%,New Orleans Saints,56.3%,07/09/2023 10:27:19 PM,Tennessee Titans,New Orleans Saints,09102023-Tennessee Titans-New Orleans Saints
401547401,nfl,2023-09-10 11:25:00,Miami Dolphins,44.1%,Los Angeles Chargers,55.6%,07/09/2023 10:27:19 PM,Miami Dolphins,Los Angeles Chargers,09102023-Miami Dolphins-Los Angeles Chargers
401547400,nfl,2023-09-10 11:25:00,Las Vegas Raiders,44.7%,Denver Broncos,55.0%,07/09/2023 10:27:19 PM,Las Vegas Raiders,Denver Broncos,09102023-Las Vegas Raiders-Denver Broncos
401547402,nfl,2023-09-10 11:25:00,Philadelphia Eagles,61.7%,New England Patriots,38.0%,07/09/2023 10:27:20 PM,Philadelphia Eagles,New England Patriots,09102023-Philadelphia Eagles-New England Patriots
401547397,nfl,2023-09-10 08:00:00,Cincinnati Bengals,61.2%,Cleveland Browns,38.5%,07/09/2023 10:27:20 PM,Cincinnati Bengals,Cleveland Browns,09102023-Cincinnati Bengals-Cleveland Browns
401547405,nfl,2023-09-10 08:00:00,San Francisco 49ers,56.9%,Pittsburgh Steelers,42.8%,07/09/2023 10:27:21 PM,San Francisco 49ers,Pittsburgh Steelers,09102023-San Francisco 49ers-Pittsburgh Steelers
401520157,college-football,2023-09-02 07:00:00,Utah State Aggies,7.2%,Iowa Hawkeyes,92.8%,07/09/2023 10:27:21 PM,Utah State,Iowa,09022023-Utah State-Iowa
401520172,college-football,2023-09-02 07:00:00,Louisiana Tech Bulldogs,10.8%,SMU Mustangs,89.2%,07/09/2023 10:27:22 PM,Louisiana Tech,SMU,09022023-Louisiana Tech-SMU
401523991,college-football,2023-09-02 11:00:00,California Golden Bears,64.0%,North Texas Mean Green,36.0%,07/09/2023 10:27:22 PM,California,North Texas,09022023-California-North Texas
401520165,college-football,2023-08-31 15:00:00,South Dakota Coyotes,4.0%,Missouri Tigers,96.0%,07/09/2023 10:27:22 PM,South Dakota Coyotes,Missouri Tigers,08312023-South Dakota Coyotes-Missouri Tigers
401520147,college-football,2023-08-26 14:30:00,Hawai'i Rainbow Warriors,15.0%,Vanderbilt Commodores,85.0%,07/09/2023 10:27:23 PM,Hawaii,Vanderbilt,08262023-Hawaii-Vanderbilt
401520170,college-football,2023-09-02 07:00:00,Fresno State Bulldogs,21.5%,Purdue Boilermakers,78.5%,07/09/2023 10:27:23 PM,Fresno State,Purdue,09022023-Fresno State-Purdue
401525461,college-football,2023-08-31 14:00:00,Elon Phoenix,3.1%,Wake Forest Demon Deacons,96.9%,07/09/2023 10:27:23 PM,Elon Phoenix,Wake Forest Demon Deacons,08312023-Elon Phoenix-Wake Forest Demon Deacons
401532392,college-football,2023-08-26 14:00:00,Ohio Bobcats,32.2%,San Diego State Aztecs,67.8%,07/09/2023 10:27:24 PM,Ohio,San Diego State,08262023-Ohio-San Diego State
401532571,college-football,2023-09-02 17:30:00,Idaho State Bengals,4.1%,San Diego State Aztecs,95.9%,07/09/2023 10:27:24 PM,Idaho State Bengals,San Diego State,09022023-Idaho State Bengals-San Diego State
401520168,college-football,2023-09-02 09:00:00,Mercer Bears,1.0%,Ole Miss Rebels,99.0%,07/09/2023 10:27:24 PM,Mercer Bears,Ole Miss,09022023-Mercer Bears-Ole Miss
401523997,college-football,2023-09-02 10:30:00,Boise State Broncos,17.9%,Washington Huskies,82.1%,07/09/2023 10:27:25 PM,Boise State,Washington,09022023-Boise State-Washington
401525466,college-football,2023-09-02 11:00:00,Colgate Raiders,1.3%,Syracuse Orange,98.7%,07/09/2023 10:27:25 PM,Colgate Raiders,Syracuse Orange,09022023-Colgate Raiders-Syracuse Orange
401531377,college-football,2023-08-31 15:00:00,North Carolina A&T Aggies,10.2%,UAB Blazers,89.8%,07/09/2023 10:27:26 PM,North Carolina A&T Aggies,UAB Blazers,08312023-North Carolina A&T Aggies-UAB Blazers
